2010-11 NBA,
1st Team,
Kobe Bryant,sg
Kevin Garnett,pf
Dwight Howard,c
LeBron James,sf
Rajon Rondo,pg

2nd Team,
Tony Allen,sg
Tyson Chandler,c
Andre Iguodala,sf
Joakim Noah,pf
Chris Paul,pg
2009-10 NBA,
1st Team,
Kobe Bryant,sg
Dwight Howard,c
LeBron James,sf
Rajon Rondo,pg
Gerald Wallace,pf

2nd Team,
Tim Duncan,pf
Thabo Sefolosha,sg
Josh Smith,sf
Anderson Varejao,c
Dwyane Wade,pg
2008-09 NBA,
1st Team,
Kobe Bryant,sg
Kevin Garnett,pf
Dwight Howard,c
LeBron James,sf
Chris Paul,pg

2nd Team,
Ron Artest,pf
Shane Battier,sf
Tim Duncan,c
Rajon Rondo,pg
Dwyane Wade,sg
2007-08 NBA,
1st Team,
Bruce Bowen,pg
Kobe Bryant,sg
Marcus Camby,c
Tim Duncan,pf
Kevin Garnett,sf

2nd Team,
Shane Battier,pf
Raja Bell,sg
Dwight Howard,c
Chris Paul,pg
Tayshaun Prince,sf
2006-07 NBA,
1st Team,
Raja Bell,pg
Bruce Bowen,sf
Kobe Bryant,sg
Marcus Camby,c
Tim Duncan,pf

2nd Team,
Kevin Garnett,pf
Kirk Hinrich,pg
Jason Kidd,sg
Tayshaun Prince,sf
Ben Wallace,c
2005-06 NBA,
1st Team,
Ron Artest,sf
Bruce Bowen,sg
Andrei Kirilenko,pf
Ben Wallace,c
Kobe Bryant,sg
Jason Kidd,pg

2nd Team,
Chauncey Billups,pg
Marcus Camby,c
Tim Duncan,pf
Kevin Garnett,sf
Tayshaun Prince,sg
2004-05 NBA,
1st Team,
Bruce Bowen,sg
Tim Duncan,pf
Kevin Garnett,sf
Larry Hughes,pg
Ben Wallace,c

2nd Team,
Chauncey Billups,pg
Marcus Camby,c
Andrei Kirilenko,pf
Tayshaun Prince,sf
Jason Kidd,pg
Dwyane Wade,sg
2003-04 NBA,
1st Team,
Ron Artest,sf
Bruce Bowen,sg
Kobe Bryant,pg
Kevin Garnett,pf
Ben Wallace,c

2nd Team,
Doug Christie,sg
Tim Duncan,pf
Jason Kidd,pg
Andrei Kirilenko,sf
Theo Ratliff,c
2002-03 NBA,
1st Team,
Kobe Bryant,sg
Doug Christie,pg
