coachid,firstname,lastname,season_win,season_loss,playoff_win,playoff_loss
ADELMRI01 ,Rick,Adelman,902,577,79,78
ADUBARI01 ,Richie,Adubato,127,240,3,5
AINGEDA01 ,Danny,Ainge,136,90,3,9
ALBECST01 ,Stan,Albeck,307,267,18,26
ARMSTPA01 ,Paul,Armstrong,22,32,0,0
ATTLEAL01 ,Al,Attles,557,518,31,30
AUERBRE01 ,Red,Auerbach,938,479,99,69
AYERSRA01 ,Randy,Ayers,21,31,0,0
BACHJO01  ,John,Bach,95,172,0,0
BADGEED01 ,Ed,Badger,84,80,1,2
BARKECL01 ,Cliff,Barker,63,57,3,3
BaronTo01 ,Tony,Barone,16,36,0,0
BarriTo01 ,Tom,Barrise,0,2,0,0
BASSBO01  ,Bob,Bass,60,51,1,5
BAYLOEL01 ,Elgin,Baylor,86,135,0,0
BEARDBU01 ,Butch,Beard,60,104,0,0
BEECL01   ,Clair,Bee,32,107,0,0
BENNECA01 ,Carl,Bennett,0,6,0,0
BERRYBI01 ,Bill,Berry,0,2,0,0
BERTKBI01 ,Bill,Bertka,1,0,0,0
BIANCAL01 ,Al,Bianchi,53,111,0,0
BICKEBE01 ,Bernie,Bickerstaff,414,513,12,21
BIRCHPA01 ,Paul,Birch,120,147,4,10
BIRDLA01  ,Larry,Bird,147,67,32,20
BLAIRBI01 ,Bill,Blair,29,79,0,2
BORYLVI01 ,Vince,Boryla,80,85,0,0
BowerJe01 ,Jeff,Bower,34,39,0,0
BoylaJi01 ,Jim,Boylan,24,32,0,0
BRAUNCA01 ,Carl,Braun,40,87,0,0
BRISTAL01 ,Allan,Bristow,207,203,5,8
BrookSc01 ,Scott,Brooks,72,78,2,4
BROVEJI01 ,Jim,Brovelli,5,13,0,0
BROWNHE01 ,Herb,Brown,72,74,5,7
BROWNHU01 ,Hubie,Brown,424,495,14,24
BROWNLA01 ,Larry,Brown,1089,885,100,93
BrownMi01 ,Mike,Brown,272,138,42,29
BROWNPH01 ,Philip,Brownstein,50,29,0,3
BUCKNQU01 ,Quinn,Buckner,13,69,0,0
BUCKWBU01 ,Bucky,Buckwalter,13,24,0,0
BUDKOWA01 ,Walt,Budko,10,19,0,0
BUTCHDO01 ,Donnis,Butcher,52,63,2,4
BZDELJE01 ,Jeff,Bzdelik,73,119,1,4
CALIPJO01 ,John,Calipari,72,112,0,3
CARLEPJ01 ,PJ,Carlesimo,204,297,3,9
CarliRi01 ,Rick,Carlisle,386,270,32,36
CARRML01  ,ML,Carr,48,116,0,0
CARROJO01 ,John,Carroll,14,22,0,4
CARTEBU01 ,Butch,Carter,73,92,0,3
CARTEFR01 ,Fred,Carter,32,76,0,0
CARTWBI01 ,Bill,Cartwright,51,100,0,0
CASEYDO01 ,Don,Casey,85,153,0,0
CaseyDw01 ,Dwane,Casey,53,69,0,0
CASTEJO01 ,John,Castellani,11,25,0,0
CERVIAL01 ,Al,Cervi,326,241,33,26
CHANEDO01 ,Don,Chaney,317,432,2,9
CHEEKMA01 ,Maurice,Cheeks,284,286,5,11
CLEAMJI01 ,Jim,Cleamons,28,70,0,0
CLIFFRO01 ,Roy,Clifford,13,10,1,2
COHALNE01 ,Neil,Cohalan,33,27,2,3
COLANJE01 ,Jerry,Colangelo,59,59,3,4
COLLIDO01 ,Doug,Collins,332,287,15,23
COOPEMI01 ,Michael,Cooper,4,10,0,0
COSTELA01 ,Larry,Costello,430,300,37,23
COUSYBO01 ,Bob,Cousy,141,209,0,0
COWENDA01 ,Dave,Cowens,161,191,4,8
CUNNIBI01 ,Billy,Cunningham,454,196,66,39
CurryMi01 ,Michael,Curry,39,43,0,4
CURTIGL01 ,Glenn,Curtis,12,22,0,0
DANTOMI01 ,Mike,D'Antoni,328,275,17,19
DALYCH01  ,Chuck,Daly,638,437,75,51
DANIEME01 ,Mel,Daniels,0,2,0,0
DARDEJI01 ,Jimmy,Darden,11,51,0,0
DAVISJO01 ,Johnny,Davis,73,146,0,0
DEBUSDA01 ,Dave,DeBusschere,79,143,0,0
DEHNEDU01 ,Dutch,Dehnert,17,20,0,0
DelneVi01 ,Vinny,Del Negro,82,82,4,8
DELANDO01 ,Don,Delaney,7,19,0,0
DiLeoTo01 ,Tony,DiLeo,32,27,2,4
DOVOVED01 ,Eddie,Dovovan,84,194,0,0
DUFFEIK01 ,Ike,Duffey,1,2,0,0
DUNLEMI01 ,Mike,Dunleavy,613,716,38,33
ECKMACH01 ,Charles,Eckman,123,118,10,13
EGANJO01  ,John,Egan,129,152,3,5
EVANSMI01 ,Mike,Evans,18,38,0,0
FARMEMI01 ,Mike,Farmer,1,8,0,0
FEERIBO01 ,Bob,Feerick,63,85,0,2
FITCHBI01 ,Bill,Fitch,944,1106,55,54
FITZGDI01 ,Dick,Fitzgerald,2,1,0,0
FITZSCO01 ,Cotton,Fitzsimmons,832,775,35,49
FLOYDTI01 ,Tim,Floyd,90,231,3,4
FORDCH01  ,Chris,Ford,323,376,13,16
FrankLa01 ,Larry,Frank,225,241,18,20
FRATEMI01 ,Mike,Fratello,667,548,20,42
FRIDDBU01 ,Burl,Friddle,14,29,0,0
GALLAHA01 ,Harry,Gallatin,136,120,12,11
GENTRAL01 ,Alvin,Gentry,249,267,12,9
GOTTLED01 ,Eddie,Gottlieb,263,318,15,17
