ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDELAL01 ,Alaa,Abdelnaby,N,17,106,38,17,3,20,3,0,1,11,11,40,18,4,2,0,0
ABDULKA01 ,Kareem,Abdul-jabbar,N,237,8851,5762,833,355,2481,767,150,399,404,787,4422,2356,1419,1050,4,0
ABDULMA01 ,Mahmo,Abdul-rauf,N,15,415,195,18,5,23,35,7,1,22,37,187,69,45,43,49,14
ABDULTA01 ,Tariq,Abdul-wahad,N,13,178,68,24,17,41,11,4,4,4,14,63,24,24,20,3,0
ABDURSH01 ,Shareef,Abdur-rahim,N,6,129,55,21,8,29,7,2,0,13,27,43,23,15,9,3,0
ABERNTO01 ,Tom,Abernethy,N,13,226,68,0,0,42,23,0,0,0,18,54,22,29,24,0,0
ACRESMA01 ,Mark,Acres,N,19,160,37,23,14,37,2,1,1,6,33,27,14,18,9,2,0
ADAMSAL01 ,Alvan,Adams,N,78,2288,1076,209,82,588,320,64,51,109,251,930,440,256,196,0,0
ADAMSDO01 ,Don,Adams,N,22,566,156,0,0,116,45,0,0,0,74,165,63,44,30,0,0
ADAMSDO01 ,Don,Adams,A,10,301,90,0,0,47,46,0,0,0,32,82,35,28,20,0,0
ADAMSGE01 ,George,Adams,A,9,184,80,0,0,34,15,0,0,0,14,66,34,16,12,0,0
AdamsHa01 ,Hassan,Adams,N,6,9,2,1,0,1,0,0,0,0,3,2,1,0,0,0,0
ADAMSMI01 ,Michael,Adams,N,20,679,256,53,14,67,103,32,2,44,41,230,85,60,51,107,35
ADDISRA01 ,Rafael,Addison,N,6,62,22,3,3,6,6,3,0,3,3,28,9,3,3,2,1
ADELMRI01 ,Rick,Adelman,N,21,329,121,0,0,27,39,0,0,0,32,96,43,56,35,0,0
AfflaAr01 ,Arron,Afflalo,N,16,150,39,7,1,8,7,4,2,4,14,39,17,5,3,12,2
AgerMa01  ,Maurice,Ager,N,3,24,15,2,1,3,0,0,0,0,3,9,5,6,3,3,2
AGUIRMA01 ,Mark,Aguirre,N,102,2958,1747,356,181,537,265,71,22,198,281,1435,696,417,310,142,45
AINGEDA01 ,Danny,Ainge,N,193,5038,1902,323,120,443,656,172,19,257,533,1571,717,357,296,432,172
AITCHMA01 ,Matt,Aitch,A,2,4,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0
AKINHE01  ,Henry,Akin,N,2,16,3,0,0,8,0,0,0,0,3,7,1,2,1,0,0
ALARIMA01 ,Mark,Alarie,N,4,45,23,6,0,6,1,2,2,4,9,17,10,2,2,2,1
AldriLa01 ,LaMarcus,Aldridge,N,6,237,117,36,9,45,8,3,10,10,16,104,51,20,14,4,1
ALEXACO01 ,Cory,Alexander,N,9,70,26,5,4,9,9,2,0,6,8,24,10,7,5,5,1
ALEXACO02 ,Courtney,Alexander,N,5,39,18,2,2,4,1,2,0,1,6,16,7,4,3,1,1
ALEXAVI01 ,Victor,Alexander,N,5,27,7,6,1,7,1,2,0,2,8,6,3,1,1,0,0
ALFORST01 ,Steve,Alford,N,13,106,54,5,4,9,15,3,0,5,11,48,20,9,8,17,6
ALLENBO01 ,Bob,Allen,N,3,19,4,0,0,6,0,0,0,0,2,4,0,7,4,0,0
ALLENLU01 ,Lucius,Allen,N,43,1160,506,0,0,133,142,2,1,0,100,450,202,135,102,0,0
ALLENMA01 ,Malik,Allen,N,24,306,82,34,21,55,12,5,16,17,48,92,38,10,6,0,0
ALLENRA02 ,Ray,Allen,N,77,3062,1581,242,87,329,285,88,28,160,183,1200,541,334,302,485,197
ALLENTO01 ,Tony,Allen,N,32,215,48,18,6,24,8,7,2,7,26,42,21,13,6,1,0
ALSTORA01 ,Rafer,Alston,N,56,1494,505,124,15,139,171,56,8,76,105,496,181,89,68,241,75
AMAECJO01 ,John,Amaechi,N,7,47,13,3,1,4,3,3,2,0,6,13,4,8,5,0,0
AmundLo01 ,Louis,Amundson,N,2,10,5,2,5,7,0,0,0,0,2,4,2,2,1,0,0
ANDERAN01 ,Andy,Anderson,A,28,551,224,0,0,60,16,0,0,0,21,215,85,66,54,0,0
ANDERCA01 ,Cadillac,Anderson,N,17,273,77,54,15,69,5,7,12,19,44,65,31,31,15,0,0
ANDERCH01 ,Chris,Andersen,N,20,362,103,74,35,109,11,6,34,10,45,63,37,44,29,1,0
ANDERCL01 ,Cliff,Anderson,N,3,10,4,0,0,1,0,0,0,0,1,5,2,0,0,0,0
ANDERDA01 ,Danw,Anderson,A,5,38,15,0,0,10,5,0,0,0,8,13,6,4,3,0,0
ANDERDE01 ,Derek,Anderson,N,24,461,167,38,7,45,40,12,1,37,35,137,46,74,62,43,13
ANDERER01 ,Eric,Anderson,N,2,6,2,1,0,1,0,0,0,1,2,2,1,0,0,0,0
ANDERJE01 ,Jerome,Anderson,N,4,5,2,0,0,1,1,0,0,0,1,3,1,0,0,0,0
ANDERKE02 ,Kenny,Anderson,N,36,1004,346,67,18,85,135,42,1,58,89,325,132,93,74,29,8
ANDERNI01 ,Nick,Anderson,N,49,1766,644,185,53,238,110,72,29,76,108,549,227,149,101,267,89
ANDERRI01 ,Richard,Anderson,N,15,140,58,16,7,23,10,2,3,4,20,48,20,12,10,21,8
ANDERRO01 ,Ron,Anderson,N,27,621,266,55,25,80,46,11,2,29,58,239,106,54,50,11,4
ANDERSH01 ,Shandon,Anderson,N,74,1275,359,127,65,192,68,31,7,77,129,298,133,109,76,48,17
ANDERWI01 ,Willie,Anderson,N,52,1140,483,108,34,142,127,42,12,81,128,427,198,93,73,42,14
ANTHOCA01 ,Carmelo,Anthony,N,39,1484,920,171,96,267,114,47,13,113,140,754,314,316,255,108,37
ANTHOGR01 ,Greg,Anthony,N,102,1597,455,96,28,124,234,82,18,94,207,425,154,140,90,194,57
AnthoJo01 ,Joel,Anthony,N,6,88,10,10,9,19,2,0,7,1,9,5,4,2,2,0,0
ARAUJRA01 ,Rafael,Araujo,N,5,28,11,8,3,11,1,1,0,0,8,8,3,12,5,0,0
ARCHINA01 ,Nate,Archibald,N,47,1642,667,62,15,77,306,34,2,122,118,556,235,236,195,17,2
ARDJI01   ,Jim,Ard,N,21,124,39,0,0,28,9,0,0,0,34,37,14,14,11,0,0
ARDJI01   ,Jim,Ard,A,19,215,78,0,0,57,7,0,0,0,34,61,30,32,18,0,0
ARENAGI01 ,Gilbert,Arenas,N,20,828,483,77,15,92,105,36,10,67,68,370,152,176,136,135,43
ARIZATR01 ,Trevor,Ariza,N,35,814,288,87,30,117,60,38,11,43,89,213,104,72,39,88,41
ARIZIPA01 ,Paul,Arizin,N,49,1815,1186,0,0,404,128,0,0,0,177,1001,411,439,364,0,0
ARMSTBJ01 ,B.j.,Armstrong,N,105,2364,828,127,24,151,252,82,3,79,171,667,314,179,149,113,51
ARMSTBR01 ,Brandon,Armstrong,N,8,32,6,1,1,2,3,1,0,0,4,12,3,0,0,1,0
ARMSTDA01 ,Darrell,Armstrong,N,51,1119,346,83,34,117,127,48,6,83,96,284,113,90,81,136,39
ArmstHi01 ,Hilton,Armstrong,N,12,125,36,16,12,28,1,4,7,10,27,26,14,20,8,0,0
ARMSTPA01 ,Paul,Armstrong,N,6,0,24,0,0,7,11,0,0,0,14,41,11,5,2,0,0
ARNETJA01 ,Jay,Arnette,N,9,81,29,0,0,10,10,0,0,0,22,32,11,8,7,0,0
ARNZEBO01 ,Bob,Arnzen,A,7,13,7,0,0,0,0,0,0,0,1,6,3,1,1,0,0
ARROYCA01 ,Carlos,Arroyo,N,29,247,67,14,5,19,54,5,2,14,29,72,26,20,15,4,0
ARTESRO01 ,Ron,Artest,N,44,1690,739,183,61,244,146,71,32,99,131,687,266,189,138,220,69
ASKEWVI01 ,Vincent,Askew,N,50,707,216,60,36,96,59,21,9,42,95,191,76,79,54,29,10
ASKINKE01 ,Keith,Askins,N,27,333,61,35,22,57,13,9,3,11,56,57,21,9,7,31,12
