Bennett Salvatore,MAIN,64,0.625,2.6,198.9,42.8,50.5,49.5,0.8,0.6
Bennie Adams,CREW,58,0.638,3.2,196.4,41.8,51,49.1,0.9,0.8
Bennie Adams,MAIN,2,1,15.5,190.5,37.5,52,48,0,0
Bill Kennedy,CREW,61,0.541,0.4,198.4,42.3,50.6,49.5,0.8,0.7
Bill Kennedy,MAIN,7,0.857,15.6,198.1,40.3,49.6,50.3,0.9,0.6
Bill Spooner,MAIN,41,0.488,-0.8,196.7,42.8,50.7,49.2,0.9,0.6
Bob Delaney,MAIN,55,0.6,2.8,200.3,43,50.3,49.7,1,0.8
Brian Forte,CREW,50,0.58,2.5,200.1,41.9,49.7,50.3,1,0.8
Courtney Kirkland,CREW,70,0.557,1.1,202.4,42.1,52.6,47.5,0.9,0.5
Curtis Blair,CREW,47,0.447,-1.7,199.2,40.7,51.1,48.8,0.8,0.8
Dan Crawford,MAIN,68,0.588,3,200.4,41.2,50,50,0.7,0.6
David Guthrie,CREW,59,0.593,2.3,195.3,38.4,49.5,50.5,1,0.8
David Jones,CREW,59,0.695,5.1,200.9,40.4,51.7,48.4,1,0.6
David Jones,MAIN,7,0.857,4.3,213.4,43.9,52.4,47.5,1.4,0
Derek Richardson,CREW,57,0.561,2.7,200.5,44.2,50.6,49.4,0.7,0.7
Derrick Collins,CREW,56,0.696,4.8,196.2,41.1,51.6,48.3,0.7,0.4
Derrick Stafford,CREW,25,0.6,1.7,189.3,43.9,51.8,48.3,0.8,0.8
Derrick Stafford,MAIN,35,0.543,2.2,198.9,43,50.6,49.3,1,0.9
Dick Bavetta,MAIN,67,0.642,3.6,202.8,43,50.7,49.3,0.9,0.8
Ed Malloy,CREW,71,0.662,4.6,202.5,43.2,50.2,49.7,1.1,0.9
Eddie Rush,MAIN,64,0.578,3.8,197.4,41.4,51.9,48.1,0.9,0.8
Eli Roe,CREW,52,0.712,5.4,199.5,44.1,50.7,49.4,1.2,0.8
Eric Dalen,CREW,46,0.478,0.7,201.5,41.3,50.4,49.6,0.9,0.8
Eric Lewis,CREW,60,0.6,3.9,200.6,43.1,51,48.8,0.8,0.9
Gary Zielinski,CREW,69,0.638,4.1,198.5,39.2,51.9,48.2,0.8,0.8
Greg Willard,MAIN,60,0.733,6.1,200.3,41.2,51.7,48.4,0.7,0.7
Haywoode Workman,CREW,46,0.609,1.6,195.7,42.8,51.3,48.7,0.8,0.6
Jack Nies,MAIN,1,0,-15,169,36,55.6,44.4,0,0
Jack Nies,CREW,41,0.732,5.7,202.8,41.2,52.4,47.7,0.6,0.7
James Capers,CREW,62,0.694,5,195.1,41.5,51.1,48.9,0.7,0.9
James Capers,MAIN,4,0.5,4.8,204.8,43.3,50.8,49.1,0.8,0.8
Jason Phillips,CREW,67,0.687,4.2,199.1,42.6,51.5,48.4,0.8,0.6
Jim Clark,MAIN,2,0.5,-5,208,38,46.1,53.9,0.5,0.5
Jim Clark,CREW,57,0.649,4.2,200.4,43.1,52.1,47.8,0.7,0.9
Joe Crawford,MAIN,65,0.662,4.4,204.6,44.2,51.2,48.7,1,0.6
Joe DeRosa,MAIN,63,0.524,0.6,198.4,42.3,51.4,48.7,0.8,0.7
Joe Forte,CREW,39,0.487,2.1,201.6,43.1,49.1,50.9,1.2,1
Joe Forte,MAIN,21,0.571,2.1,193.3,41.6,51.2,48.9,0.9,1
John Goble,CREW,57,0.579,3.3,200.2,43.2,51.9,48.2,0.9,0.7
Ken Mauer,MAIN,59,0.712,5.3,195.9,39,51.6,48.5,0.8,1
Kevin Fehr,CREW,59,0.576,2.8,195.3,40.9,50.7,49.4,0.8,0.6
