Bennett Salvatore,MAIN,11,0.545,-1.2,193.9,46.8,51.5,48.6,0.7,1
Dan Crawford,MAIN,12,0.5,-1.3,193,44.3,53.6,46.5,0.8,0.8
Eddie Rush,MAIN,6,1,12.7,189.7,42.3,59.1,41,0.7,0.7
Joe Crawford,MAIN,14,0.786,6.8,200.2,48.6,52.6,47.3,1.1,1.2
Joe DeRosa,MAIN,9,0.556,6.2,188.4,50.9,52.2,47.8,1.3,1.2
Ken Mauer,MAIN,6,0.5,0.5,196.8,43.8,49.1,51,0.5,0.7
Monty McCutchen,MAIN,13,0.846,10.4,194.5,46.9,50,50,0.9,0.8
Scott Foster,MAIN,11,0.636,3,199.5,46.2,51.4,48.6,0.6,1.1
Bennett Salvatore,CREW,1,0,-7,175,47,42.6,57.4,0,0
Bill Kennedy,CREW,10,0.3,-5,195.2,45.1,50.8,49.2,0.3,0.7
Bill Spooner,CREW,8,0.625,7,189,48.8,53.8,46.1,0.5,0.8
Bob Delaney,CREW,10,0.7,10.4,189.4,43.9,52.8,47.2,0.6,1.2
David Jones,CREW,3,1,7.7,197,48.3,53.8,46.2,0,0
Derrick Collins,CREW,2,1,9.5,182.5,39.5,57,43,0.5,0.5
Derrick Stafford,CREW,9,0.556,-0.7,194.2,51.8,50.4,49.5,0.1,1.4
Dick Bavetta,CREW,6,0.5,0.2,192.8,46.3,57.6,42.5,1.2,1
Ed Malloy,CREW,7,0.571,-1,191.9,44.1,54.7,45.4,0.7,1.3
Eddie Rush,CREW,5,0.8,3.2,195.2,47,50.6,49.4,1.2,2
Eric Lewis,CREW,2,0.5,4,206,41,51.2,48.8,0.5,0.5
Greg Willard,CREW,12,0.667,8.6,200.9,46,51.1,48.9,0,1
James Capers,CREW,7,0.571,1.3,200.4,38.9,50.3,49.6,0.3,0.7
Jason Phillips,CREW,6,0.833,8.7,202,46.2,52.3,47.6,0.7,1
Joe DeRosa,CREW,2,1,17.5,173.5,46,53.3,46.7,1,1.5
John Goble,CREW,2,1,10,197,42,57.1,42.9,0,1
Ken Mauer,CREW,7,0.571,1.4,195.1,45.1,53.2,46.9,0.3,1
Leon Wood,CREW,3,0.333,5.7,199.7,54.3,49.1,51,0,0.7
Marc Davis,CREW,9,0.556,1.1,196.9,51.4,52.3,47.8,1,1.3
Michael Smith,CREW,5,0.8,8.4,194,50.4,53.6,46.4,0,1
Mike Callahan,CREW,11,0.636,1,195.2,48,49.4,50.6,0.6,1.1
Pat Fraher,CREW,3,0.667,4.7,201.3,52.7,50,50,0.7,0.7
Rodney Mott,CREW,2,1,9.5,176.5,46,58.7,41.3,0.5,1.5
Ron Garretson,CREW,5,1,10.2,204.2,44,53.6,46.4,0,0.2
Sean Corbin,CREW,5,0.6,4.2,197,46.4,52.2,47.8,0.6,0.8
Sean Wright,CREW,2,1,7,192,45.5,52.7,47.3,0,0.5
Scott Foster,CREW,2,1,12.5,165.5,42.5,52.9,47.1,0,0.5
Tom Washington,CREW,8,0.875,14,199.8,48.4,52.7,47.3,0.1,0.9
Tony Brothers,CREW,4,1,9.3,202.8,44,49.4,50.6,0.5,1
Zach Zarba,CREW,5,0.6,-5,197.4,47,49.8,50.2,0,1
